distX;distY;myGunHeading;velocityX;velocityY;hit
-38.16;97.80;35.00;-5.37;8.43;1
-43.21;99.79;40.00;-6.75;7.37;1
-160.00;315.00;5.00;0.00;0.00;0
-159.56;310.02;10.00;0.00;0.00;0
-158.70;305.09;15.00;0.00;0.00;0
-157.40;300.27;20.00;0.00;0.00;0
-153.58;291.04;30.00;0.00;0.00;1
-155.69;295.57;25.00;0.00;0.00;0
-151.08;286.71;35.00;0.00;0.00;0
-148.21;282.61;40.00;0.00;0.00;0
-145.00;278.78;45.00;0.00;0.00;0
-141.46;275.24;50.00;0.00;0.00;0
-137.63;272.03;55.00;0.00;0.00;0
-133.54;269.16;60.00;0.00;0.00;0
-129.21;266.66;65.00;0.00;0.00;0
-400.69;-42.11;70.00;0.00;0.00;0
-387.33;-48.82;75.00;0.00;0.00;0
-390.17;-163.85;105.00;-9.21;-3.91;1
-373.84;-55.12;80.00;8.66;-5.00;0
-387.04;-154.95;85.00;0.00;0.00;0
-386.66;-157.34;90.00;0.00;0.00;0
-386.27;-159.30;95.00;-4.60;-1.95;0
-390.49;-162.77;100.00;-4.60;-1.95;0
-389.94;-159.01;110.00;-4.60;-1.95;1
-398.72;-153.06;135.00;-4.31;2.97;0
-394.33;-150.58;130.00;0.00;0.00;0
-394.12;-156.41;125.00;-4.60;3.55;0
-270.02;-87.50;120.00;0.00;0.00;0
-272.61;-67.77;140.00;4.33;-2.50;0
-279.31;-62.63;145.00;0.00;0.00;0
-278.88;-87.11;115.00;8.66;-5.00;0
-88.71;424.38;345.00;0.00;0.00;0
-90.01;423.71;350.00;0.00;0.00;0
-91.72;422.91;355.00;0.00;0.00;0
-118.20;424.31;35.00;0.00;0.00;0
-122.73;426.43;40.00;0.00;0.00;0
-434.49;60.30;55.00;-9.91;1.30;0
-66.69;288.15;330.00;0.00;0.00;0
-64.19;283.82;335.00;0.00;0.00;0
-61.32;279.73;340.00;0.00;0.00;0
-58.11;275.90;345.00;0.00;0.00;0
-54.57;272.36;350.00;0.00;0.00;0
-50.74;269.15;355.00;0.00;0.00;0
-46.65;266.28;0.00;0.00;0.00;0
-37.79;261.67;10.00;0.00;0.00;1
-42.32;263.78;5.00;0.00;0.00;0
-33.09;259.96;15.00;0.00;0.00;0
-28.26;258.66;20.00;0.00;0.00;0
-23.33;257.80;25.00;0.00;0.00;0
-18.35;257.36;30.00;0.00;0.00;0
-13.35;257.36;35.00;0.00;0.00;0
-8.37;257.80;40.00;0.00;0.00;0
-3.45;258.66;45.00;0.00;0.00;0
1.38;259.96;50.00;0.00;0.00;0
